"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Hungary (HU)","Actual Total Load [MW] - Hungary (HU)"
"14.03.2022 14:30 - 14.03.2022 14:45","4692","4314"
"14.03.2022 14:45 - 14.03.2022 15:00","4718","4358"
"14.03.2022 15:00 - 14.03.2022 15:15","4767","4391"
"14.03.2022 15:15 - 14.03.2022 15:30","4799","4453"
"14.03.2022 15:30 - 14.03.2022 15:45","4843","4511"
"14.03.2022 15:45 - 14.03.2022 16:00","4916","4610"
"14.03.2022 16:00 - 14.03.2022 16:15","4958","4672"
"14.03.2022 16:15 - 14.03.2022 16:30","5006","4753"
"14.03.2022 16:30 - 14.03.2022 16:45","5037","4827"
"14.03.2022 16:45 - 14.03.2022 17:00","5086","4927"
"14.03.2022 17:00 - 14.03.2022 17:15","5110","5017"
"14.03.2022 17:15 - 14.03.2022 17:30","5140","5079"
"14.03.2022 17:30 - 14.03.2022 17:45","5256","5129"
"14.03.2022 17:45 - 14.03.2022 18:00","5342","5248"
"14.03.2022 18:00 - 14.03.2022 18:15","5406","5438"
"14.03.2022 18:15 - 14.03.2022 18:30","5400","5538"
"14.03.2022 18:30 - 14.03.2022 18:45","5430","5562"
"14.03.2022 18:45 - 14.03.2022 19:00","5456","5598"
"14.03.2022 19:00 - 14.03.2022 19:15","5430","5602"
"14.03.2022 19:15 - 14.03.2022 19:30","5445","5584"
"14.03.2022 19:30 - 14.03.2022 19:45","5409","5568"
"14.03.2022 19:45 - 14.03.2022 20:00","5375","5557"
"14.03.2022 20:00 - 14.03.2022 20:15","5305","5486"
"14.03.2022 20:15 - 14.03.2022 20:30","5282","5410"
"14.03.2022 20:30 - 14.03.2022 20:45","5234","5402"
"14.03.2022 20:45 - 14.03.2022 21:00","5184","5366"
"14.03.2022 21:00 - 14.03.2022 21:15","5110","5312"
"14.03.2022 21:15 - 14.03.2022 21:30","5052","5241"
"14.03.2022 21:30 - 14.03.2022 21:45","4962","5164"
"14.03.2022 21:45 - 14.03.2022 22:00","4858","5097"
"14.03.2022 22:00 - 14.03.2022 22:15","4792","5041"
"14.03.2022 22:15 - 14.03.2022 22:30","4748","4966"
"14.03.2022 22:30 - 14.03.2022 22:45","4720","4957"
"14.03.2022 22:45 - 14.03.2022 23:00","4650","4873"
"14.03.2022 23:00 - 14.03.2022 23:15","4577","4807"
"14.03.2022 23:15 - 14.03.2022 23:30","4516","4741"
"14.03.2022 23:30 - 14.03.2022 23:45","4483","4733"
"14.03.2022 23:45 - 15.03.2022 00:00","4409","4639"
"15.03.2022 00:00 - 15.03.2022 00:15","4400","4512"
"15.03.2022 00:15 - 15.03.2022 00:30","4342","4442"
"15.03.2022 00:30 - 15.03.2022 00:45","4324","4451"
"15.03.2022 00:45 - 15.03.2022 01:00","4360","4402"
"15.03.2022 01:00 - 15.03.2022 01:15","4341","4390"
"15.03.2022 01:15 - 15.03.2022 01:30","4292","4330"
"15.03.2022 01:30 - 15.03.2022 01:45","4220","4283"
"15.03.2022 01:45 - 15.03.2022 02:00","4215","4256"
"15.03.2022 02:00 - 15.03.2022 02:15","4162","4208"
"15.03.2022 02:15 - 15.03.2022 02:30","4083","4190"
"15.03.2022 02:30 - 15.03.2022 02:45","4037","4130"
"15.03.2022 02:45 - 15.03.2022 03:00","4042","4120"
"15.03.2022 03:00 - 15.03.2022 03:15","4037","4099"
"15.03.2022 03:15 - 15.03.2022 03:30","3975","4089"
"15.03.2022 03:30 - 15.03.2022 03:45","4006","4056"
"15.03.2022 03:45 - 15.03.2022 04:00","3993","4078"
"15.03.2022 04:00 - 15.03.2022 04:15","4027","4094"
"15.03.2022 04:15 - 15.03.2022 04:30","4031","4105"
"15.03.2022 04:30 - 15.03.2022 04:45","4073","4104"
"15.03.2022 04:45 - 15.03.2022 05:00","4110","4161"
"15.03.2022 05:00 - 15.03.2022 05:15","4138","4200"
"15.03.2022 05:15 - 15.03.2022 05:30","4137","4212"
"15.03.2022 05:30 - 15.03.2022 05:45","4167","4182"
"15.03.2022 05:45 - 15.03.2022 06:00","4132","4169"
"15.03.2022 06:00 - 15.03.2022 06:15","4156","4233"
"15.03.2022 06:15 - 15.03.2022 06:30","4221","4246"
"15.03.2022 06:30 - 15.03.2022 06:45","4260","4237"
"15.03.2022 06:45 - 15.03.2022 07:00","4326","4251"
"15.03.2022 07:00 - 15.03.2022 07:15","4356","4298"
"15.03.2022 07:15 - 15.03.2022 07:30","4359","4294"
"15.03.2022 07:30 - 15.03.2022 07:45","4360","4311"
"15.03.2022 07:45 - 15.03.2022 08:00","4297","4294"
"15.03.2022 08:00 - 15.03.2022 08:15","4260","4283"
"15.03.2022 08:15 - 15.03.2022 08:30","4259","4261"
"15.03.2022 08:30 - 15.03.2022 08:45","4218","4249"
"15.03.2022 08:45 - 15.03.2022 09:00","4192","4261"
"15.03.2022 09:00 - 15.03.2022 09:15","4167","4254"
"15.03.2022 09:15 - 15.03.2022 09:30","4153","4233"
"15.03.2022 09:30 - 15.03.2022 09:45","4118","4228"
"15.03.2022 09:45 - 15.03.2022 10:00","4067","4201"
"15.03.2022 10:00 - 15.03.2022 10:15","4082","4221"
"15.03.2022 10:15 - 15.03.2022 10:30","4082","4201"
"15.03.2022 10:30 - 15.03.2022 10:45","4043","4205"
"15.03.2022 10:45 - 15.03.2022 11:00","3975","4181"
"15.03.2022 11:00 - 15.03.2022 11:15","4019","4188"
"15.03.2022 11:15 - 15.03.2022 11:30","4025","4188"
"15.03.2022 11:30 - 15.03.2022 11:45","3993","4196"
"15.03.2022 11:45 - 15.03.2022 12:00","3991","4216"
"15.03.2022 12:00 - 15.03.2022 12:15","3996","4190"
"15.03.2022 12:15 - 15.03.2022 12:30","3978","4184"
"15.03.2022 12:30 - 15.03.2022 12:45","3960","4157"
"15.03.2022 12:45 - 15.03.2022 13:00","3985","4138"
"15.03.2022 13:00 - 15.03.2022 13:15","3977","4141"
"15.03.2022 13:15 - 15.03.2022 13:30","4012","4154"
"15.03.2022 13:30 - 15.03.2022 13:45","4023","4203"
"15.03.2022 13:45 - 15.03.2022 14:00","4059","4256"
"15.03.2022 14:00 - 15.03.2022 14:15","4144","4347"
"15.03.2022 14:15 - 15.03.2022 14:30","4173","4389"
"15.03.2022 14:30 - 15.03.2022 14:45","4202","4488"
"15.03.2022 14:45 - 15.03.2022 15:00","4270","4540"
"15.03.2022 15:00 - 15.03.2022 15:15","4345","4596"
"15.03.2022 15:15 - 15.03.2022 15:30","4405","4604"
"15.03.2022 15:30 - 15.03.2022 15:45","4453","4648"
"15.03.2022 15:45 - 15.03.2022 16:00","4545","4692"
"15.03.2022 16:00 - 15.03.2022 16:15","4604","4757"
"15.03.2022 16:15 - 15.03.2022 16:30","4641","4797"
"15.03.2022 16:30 - 15.03.2022 16:45","4696","4870"
"15.03.2022 16:45 - 15.03.2022 17:00","4740","4906"
"15.03.2022 17:00 - 15.03.2022 17:15","4773","4966"
"15.03.2022 17:15 - 15.03.2022 17:30","4782","4996"
"15.03.2022 17:30 - 15.03.2022 17:45","4836","5109"
"15.03.2022 17:45 - 15.03.2022 18:00","4904","5211"
"15.03.2022 18:00 - 15.03.2022 18:15","5070","5355"
"15.03.2022 18:15 - 15.03.2022 18:30","5153","5393"
"15.03.2022 18:30 - 15.03.2022 18:45","5219","5450"
"15.03.2022 18:45 - 15.03.2022 19:00","5281","5477"
"15.03.2022 19:00 - 15.03.2022 19:15","5276","5492"
"15.03.2022 19:15 - 15.03.2022 19:30","5279","5469"
"15.03.2022 19:30 - 15.03.2022 19:45","5275","5458"
"15.03.2022 19:45 - 15.03.2022 20:00","5254","5408"
"15.03.2022 20:00 - 15.03.2022 20:15","5194","5352"
"15.03.2022 20:15 - 15.03.2022 20:30","5163","5290"
"15.03.2022 20:30 - 15.03.2022 20:45","5140","5268"
"15.03.2022 20:45 - 15.03.2022 21:00","5099","5189"
"15.03.2022 21:00 - 15.03.2022 21:15","5021","5116"
"15.03.2022 21:15 - 15.03.2022 21:30","5011","5060"
"15.03.2022 21:30 - 15.03.2022 21:45","4942","4957"
"15.03.2022 21:45 - 15.03.2022 22:00","4892","4902"
"15.03.2022 22:00 - 15.03.2022 22:15","4817","4813"
"15.03.2022 22:15 - 15.03.2022 22:30","4769","4754"
"15.03.2022 22:30 - 15.03.2022 22:45","4724","4720"
"15.03.2022 22:45 - 15.03.2022 23:00","4661","4631"
"15.03.2022 23:00 - 15.03.2022 23:15","4577","4559"
"15.03.2022 23:15 - 15.03.2022 23:30","4547","4498"
"15.03.2022 23:30 - 15.03.2022 23:45","4523","4474"
"15.03.2022 23:45 - 16.03.2022 00:00","4452","4404"
"16.03.2022 00:00 - 16.03.2022 00:15","4419","4269"
"16.03.2022 00:15 - 16.03.2022 00:30","4367","4246"
"16.03.2022 00:30 - 16.03.2022 00:45","4319","4215"
"16.03.2022 00:45 - 16.03.2022 01:00","4325","4172"
"16.03.2022 01:00 - 16.03.2022 01:15","4299","4140"
"16.03.2022 01:15 - 16.03.2022 01:30","4240","4137"
"16.03.2022 01:30 - 16.03.2022 01:45","4208","4102"
"16.03.2022 01:45 - 16.03.2022 02:00","4211","4064"
"16.03.2022 02:00 - 16.03.2022 02:15","4139","3992"
"16.03.2022 02:15 - 16.03.2022 02:30","4109","4005"
"16.03.2022 02:30 - 16.03.2022 02:45","4052","3968"
"16.03.2022 02:45 - 16.03.2022 03:00","4055","3954"
"16.03.2022 03:00 - 16.03.2022 03:15","4029","3912"
"16.03.2022 03:15 - 16.03.2022 03:30","4034","3904"
"16.03.2022 03:30 - 16.03.2022 03:45","4042","3924"
"16.03.2022 03:45 - 16.03.2022 04:00","4011","3930"
"16.03.2022 04:00 - 16.03.2022 04:15","4023","3995"
"16.03.2022 04:15 - 16.03.2022 04:30","4083","4055"
"16.03.2022 04:30 - 16.03.2022 04:45","4135","4124"
"16.03.2022 04:45 - 16.03.2022 05:00","4240","4221"
"16.03.2022 05:00 - 16.03.2022 05:15","4338","4356"
"16.03.2022 05:15 - 16.03.2022 05:30","4386","4473"
"16.03.2022 05:30 - 16.03.2022 05:45","4442","4613"
"16.03.2022 05:45 - 16.03.2022 06:00","4633","4765"
"16.03.2022 06:00 - 16.03.2022 06:15","4856","5087"
"16.03.2022 06:15 - 16.03.2022 06:30","5072","5299"
"16.03.2022 06:30 - 16.03.2022 06:45","5204","5428"
"16.03.2022 06:45 - 16.03.2022 07:00","5258","5556"
"16.03.2022 07:00 - 16.03.2022 07:15","5509","5702"
"16.03.2022 07:15 - 16.03.2022 07:30","5625","5760"
"16.03.2022 07:30 - 16.03.2022 07:45","5752","5833"
"16.03.2022 07:45 - 16.03.2022 08:00","5775","5856"
"16.03.2022 08:00 - 16.03.2022 08:15","5809","5882"
"16.03.2022 08:15 - 16.03.2022 08:30","5877","5838"
"16.03.2022 08:30 - 16.03.2022 08:45","5875","5796"
"16.03.2022 08:45 - 16.03.2022 09:00","5891","5817"
"16.03.2022 09:00 - 16.03.2022 09:15","5840","5848"
"16.03.2022 09:15 - 16.03.2022 09:30","5860","5860"
"16.03.2022 09:30 - 16.03.2022 09:45","5803","5868"
"16.03.2022 09:45 - 16.03.2022 10:00","5832","5896"
"16.03.2022 10:00 - 16.03.2022 10:15","5754","5926"
"16.03.2022 10:15 - 16.03.2022 10:30","5750","5989"
"16.03.2022 10:30 - 16.03.2022 10:45","5725","6008"
"16.03.2022 10:45 - 16.03.2022 11:00","5689","6023"
"16.03.2022 11:00 - 16.03.2022 11:15","5687","6047"
"16.03.2022 11:15 - 16.03.2022 11:30","5681","6101"
"16.03.2022 11:30 - 16.03.2022 11:45","5739","6141"
"16.03.2022 11:45 - 16.03.2022 12:00","5749","6160"
"16.03.2022 12:00 - 16.03.2022 12:15","5693","6156"
"16.03.2022 12:15 - 16.03.2022 12:30","5691","6151"
"16.03.2022 12:30 - 16.03.2022 12:45","5736","6160"
"16.03.2022 12:45 - 16.03.2022 13:00","5760","6131"
"16.03.2022 13:00 - 16.03.2022 13:15","5759","6100"
"16.03.2022 13:15 - 16.03.2022 13:30","5663","6094"
"16.03.2022 13:30 - 16.03.2022 13:45","5670","6050"
"16.03.2022 13:45 - 16.03.2022 14:00","5654","5979"
"16.03.2022 14:00 - 16.03.2022 14:15","5659","6005"
"16.03.2022 14:15 - 16.03.2022 14:30","5600","5998"
"16.03.2022 14:30 - 16.03.2022 14:45","5576","6020"
"16.03.2022 14:45 - 16.03.2022 15:00","5669","6009"
"16.03.2022 15:00 - 16.03.2022 15:15","5759","6018"
"16.03.2022 15:15 - 16.03.2022 15:30","5761","6017"
"16.03.2022 15:30 - 16.03.2022 15:45","5754","6037"
"16.03.2022 15:45 - 16.03.2022 16:00","5782","6012"
"16.03.2022 16:00 - 16.03.2022 16:15","5770","5987"
"16.03.2022 16:15 - 16.03.2022 16:30","5789","5997"
"16.03.2022 16:30 - 16.03.2022 16:45","5779","6006"
"16.03.2022 16:45 - 16.03.2022 17:00","5774","5984"
"16.03.2022 17:00 - 16.03.2022 17:15","5759","5976"
"16.03.2022 17:15 - 16.03.2022 17:30","5773","6004"
"16.03.2022 17:30 - 16.03.2022 17:45","5757","6019"
"16.03.2022 17:45 - 16.03.2022 18:00","5776","6058"
"16.03.2022 18:00 - 16.03.2022 18:15","5963","6165"
"16.03.2022 18:15 - 16.03.2022 18:30","6085","6205"
"16.03.2022 18:30 - 16.03.2022 18:45","6106","6260"
"16.03.2022 18:45 - 16.03.2022 19:00","6171","6282"
"16.03.2022 19:00 - 16.03.2022 19:15","6153","6267"
"16.03.2022 19:15 - 16.03.2022 19:30","6098","6244"
"16.03.2022 19:30 - 16.03.2022 19:45","6072","6201"
"16.03.2022 19:45 - 16.03.2022 20:00","6040","6175"
"16.03.2022 20:00 - 16.03.2022 20:15","5982","6109"
"16.03.2022 20:15 - 16.03.2022 20:30","5957","6050"
"16.03.2022 20:30 - 16.03.2022 20:45","5916","6015"
"16.03.2022 20:45 - 16.03.2022 21:00","5836","5950"
"16.03.2022 21:00 - 16.03.2022 21:15","5822","5895"
"16.03.2022 21:15 - 16.03.2022 21:30","5798","5850"
"16.03.2022 21:30 - 16.03.2022 21:45","5721","5755"
"16.03.2022 21:45 - 16.03.2022 22:00","5619","5666"
"16.03.2022 22:00 - 16.03.2022 22:15","5554","5589"
"16.03.2022 22:15 - 16.03.2022 22:30","5541","5578"
"16.03.2022 22:30 - 16.03.2022 22:45","5517","5577"
"16.03.2022 22:45 - 16.03.2022 23:00","5429","5496"
"16.03.2022 23:00 - 16.03.2022 23:15","5371","5375"
"16.03.2022 23:15 - 16.03.2022 23:30","5298","5303"
"16.03.2022 23:30 - 16.03.2022 23:45","5280","5297"
"16.03.2022 23:45 - 17.03.2022 00:00","5198","5246"
"17.03.2022 00:00 - 17.03.2022 00:15","5057","5086"
"17.03.2022 00:15 - 17.03.2022 00:30","4949","5055"
"17.03.2022 00:30 - 17.03.2022 00:45","4895","4994"
"17.03.2022 00:45 - 17.03.2022 01:00","4884","4922"
"17.03.2022 01:00 - 17.03.2022 01:15","4836","4856"
"17.03.2022 01:15 - 17.03.2022 01:30","4753","4844"
"17.03.2022 01:30 - 17.03.2022 01:45","4699","4825"
"17.03.2022 01:45 - 17.03.2022 02:00","4697","4759"
"17.03.2022 02:00 - 17.03.2022 02:15","4639","4669"
"17.03.2022 02:15 - 17.03.2022 02:30","4578","4671"
"17.03.2022 02:30 - 17.03.2022 02:45","4507","4631"
"17.03.2022 02:45 - 17.03.2022 03:00","4457","4610"
"17.03.2022 03:00 - 17.03.2022 03:15","4456","4584"
"17.03.2022 03:15 - 17.03.2022 03:30","4442","4592"
"17.03.2022 03:30 - 17.03.2022 03:45","4461","4586"
"17.03.2022 03:45 - 17.03.2022 04:00","4453","4592"
"17.03.2022 04:00 - 17.03.2022 04:15","4488","4620"
"17.03.2022 04:15 - 17.03.2022 04:30","4535","4687"
"17.03.2022 04:30 - 17.03.2022 04:45","4612","4751"
"17.03.2022 04:45 - 17.03.2022 05:00","4707","4863"
"17.03.2022 05:00 - 17.03.2022 05:15","4824","4946"
"17.03.2022 05:15 - 17.03.2022 05:30","4906","5057"
"17.03.2022 05:30 - 17.03.2022 05:45","5044","5136"
"17.03.2022 05:45 - 17.03.2022 06:00","5143","5227"
"17.03.2022 06:00 - 17.03.2022 06:15","5318","5479"
"17.03.2022 06:15 - 17.03.2022 06:30","5489","5619"
"17.03.2022 06:30 - 17.03.2022 06:45","5534","5698"
"17.03.2022 06:45 - 17.03.2022 07:00","5548","5724"
"17.03.2022 07:00 - 17.03.2022 07:15","5627","5814"
"17.03.2022 07:15 - 17.03.2022 07:30","5587","5793"
"17.03.2022 07:30 - 17.03.2022 07:45","5535","5779"
"17.03.2022 07:45 - 17.03.2022 08:00","5422","5686"
"17.03.2022 08:00 - 17.03.2022 08:15","5349","5674"
"17.03.2022 08:15 - 17.03.2022 08:30","5318","5663"
"17.03.2022 08:30 - 17.03.2022 08:45","5259","5634"
"17.03.2022 08:45 - 17.03.2022 09:00","5154","5543"
"17.03.2022 09:00 - 17.03.2022 09:15","5079","5508"
"17.03.2022 09:15 - 17.03.2022 09:30","5024","5474"
"17.03.2022 09:30 - 17.03.2022 09:45","4965","5439"
"17.03.2022 09:45 - 17.03.2022 10:00","4917","5425"
"17.03.2022 10:00 - 17.03.2022 10:15","4880","5421"
"17.03.2022 10:15 - 17.03.2022 10:30","4885","5430"
"17.03.2022 10:30 - 17.03.2022 10:45","4897","5438"
"17.03.2022 10:45 - 17.03.2022 11:00","4816","5417"
"17.03.2022 11:00 - 17.03.2022 11:15","4862","5383"
"17.03.2022 11:15 - 17.03.2022 11:30","4885","5418"
"17.03.2022 11:30 - 17.03.2022 11:45","4878","5426"
"17.03.2022 11:45 - 17.03.2022 12:00","4893","5417"
"17.03.2022 12:00 - 17.03.2022 12:15","4945","5449"
"17.03.2022 12:15 - 17.03.2022 12:30","4954","5468"
"17.03.2022 12:30 - 17.03.2022 12:45","4971","5498"
"17.03.2022 12:45 - 17.03.2022 13:00","4985","5480"
"17.03.2022 13:00 - 17.03.2022 13:15","5014","5500"
"17.03.2022 13:15 - 17.03.2022 13:30","5064","5499"
"17.03.2022 13:30 - 17.03.2022 13:45","5092","5480"
"17.03.2022 13:45 - 17.03.2022 14:00","5043","5429"
"17.03.2022 14:00 - 17.03.2022 14:15","5136","5491"
"17.03.2022 14:15 - 17.03.2022 14:30","5159","5549"
"17.03.2022 14:30 - 17.03.2022 14:45","5239","5607"
"17.03.2022 14:45 - 17.03.2022 15:00","5267","5632"
"17.03.2022 15:00 - 17.03.2022 15:15","5367","5685"
"17.03.2022 15:15 - 17.03.2022 15:30","5390","5725"
"17.03.2022 15:30 - 17.03.2022 15:45","5457","5760"
"17.03.2022 15:45 - 17.03.2022 16:00","5525","5817"
"17.03.2022 16:00 - 17.03.2022 16:15","5543","5824"
"17.03.2022 16:15 - 17.03.2022 16:30","5613","5855"
"17.03.2022 16:30 - 17.03.2022 16:45","5714","5861"
"17.03.2022 16:45 - 17.03.2022 17:00","5788","5910"
"17.03.2022 17:00 - 17.03.2022 17:15","5840","5906"
"17.03.2022 17:15 - 17.03.2022 17:30","5881","5945"
"17.03.2022 17:30 - 17.03.2022 17:45","5910","5958"
"17.03.2022 17:45 - 17.03.2022 18:00","6005","6028"
"17.03.2022 18:00 - 17.03.2022 18:15","6174","6161"
"17.03.2022 18:15 - 17.03.2022 18:30","6292","6269"
"17.03.2022 18:30 - 17.03.2022 18:45","6347","6300"
"17.03.2022 18:45 - 17.03.2022 19:00","6379","6356"
"17.03.2022 19:00 - 17.03.2022 19:15","6379","6339"
"17.03.2022 19:15 - 17.03.2022 19:30","6360","6318"
"17.03.2022 19:30 - 17.03.2022 19:45","6351","6265"
"17.03.2022 19:45 - 17.03.2022 20:00","6338","6257"
"17.03.2022 20:00 - 17.03.2022 20:15","6249","6188"
"17.03.2022 20:15 - 17.03.2022 20:30","6199","6135"
"17.03.2022 20:30 - 17.03.2022 20:45","6179","6106"
"17.03.2022 20:45 - 17.03.2022 21:00","6126","6062"
"17.03.2022 21:00 - 17.03.2022 21:15","6070","5998"
"17.03.2022 21:15 - 17.03.2022 21:30","6014","5952"
"17.03.2022 21:30 - 17.03.2022 21:45","5949","5841"
"17.03.2022 21:45 - 17.03.2022 22:00","5824","5727"
"17.03.2022 22:00 - 17.03.2022 22:15","5745","5657"
"17.03.2022 22:15 - 17.03.2022 22:30","5706","5649"
"17.03.2022 22:30 - 17.03.2022 22:45","5706","5621"
"17.03.2022 22:45 - 17.03.2022 23:00","5613","5558"
"17.03.2022 23:00 - 17.03.2022 23:15","5513","5462"
"17.03.2022 23:15 - 17.03.2022 23:30","5411","5384"
"17.03.2022 23:30 - 17.03.2022 23:45","5401","5355"
"17.03.2022 23:45 - 18.03.2022 00:00","5344","5311"
"18.03.2022 00:00 - 18.03.2022 00:15","5207","5174"
"18.03.2022 00:15 - 18.03.2022 00:30","5126","5093"
"18.03.2022 00:30 - 18.03.2022 00:45","5055","5019"
"18.03.2022 00:45 - 18.03.2022 01:00","4974","4986"
"18.03.2022 01:00 - 18.03.2022 01:15","4912","4945"
"18.03.2022 01:15 - 18.03.2022 01:30","4892","4900"
"18.03.2022 01:30 - 18.03.2022 01:45","4843","4856"
"18.03.2022 01:45 - 18.03.2022 02:00","4842","4791"
"18.03.2022 02:00 - 18.03.2022 02:15","4813","4739"
"18.03.2022 02:15 - 18.03.2022 02:30","4775","4709"
"18.03.2022 02:30 - 18.03.2022 02:45","4736","4675"
"18.03.2022 02:45 - 18.03.2022 03:00","4693","4656"
"18.03.2022 03:00 - 18.03.2022 03:15","4700","4628"
"18.03.2022 03:15 - 18.03.2022 03:30","4642","4633"
"18.03.2022 03:30 - 18.03.2022 03:45","4635","4650"
"18.03.2022 03:45 - 18.03.2022 04:00","4643","4670"
"18.03.2022 04:00 - 18.03.2022 04:15","4692","4716"
"18.03.2022 04:15 - 18.03.2022 04:30","4724","4737"
"18.03.2022 04:30 - 18.03.2022 04:45","4751","4783"
"18.03.2022 04:45 - 18.03.2022 05:00","4810","4878"
"18.03.2022 05:00 - 18.03.2022 05:15","4908","4996"
"18.03.2022 05:15 - 18.03.2022 05:30","4990","5055"
"18.03.2022 05:30 - 18.03.2022 05:45","5085","5150"
"18.03.2022 05:45 - 18.03.2022 06:00","5174","5218"
"18.03.2022 06:00 - 18.03.2022 06:15","5399","5505"
"18.03.2022 06:15 - 18.03.2022 06:30","5579","5660"
"18.03.2022 06:30 - 18.03.2022 06:45","5642","5786"
"18.03.2022 06:45 - 18.03.2022 07:00","5660","5847"
"18.03.2022 07:00 - 18.03.2022 07:15","5730","5960"
"18.03.2022 07:15 - 18.03.2022 07:30","5692","5937"
"18.03.2022 07:30 - 18.03.2022 07:45","5657","5965"
"18.03.2022 07:45 - 18.03.2022 08:00","5573","5921"
"18.03.2022 08:00 - 18.03.2022 08:15","5523","5926"
"18.03.2022 08:15 - 18.03.2022 08:30","5478","5920"
"18.03.2022 08:30 - 18.03.2022 08:45","5444","5900"
"18.03.2022 08:45 - 18.03.2022 09:00","5350","5855"
"18.03.2022 09:00 - 18.03.2022 09:15","5319","5853"
"18.03.2022 09:15 - 18.03.2022 09:30","5289","5802"
"18.03.2022 09:30 - 18.03.2022 09:45","5241","5762"
"18.03.2022 09:45 - 18.03.2022 10:00","5162","5697"
"18.03.2022 10:00 - 18.03.2022 10:15","5114","5653"
"18.03.2022 10:15 - 18.03.2022 10:30","5124","5670"
"18.03.2022 10:30 - 18.03.2022 10:45","5080","5632"
"18.03.2022 10:45 - 18.03.2022 11:00","5016","5600"
"18.03.2022 11:00 - 18.03.2022 11:15","4994","5530"
"18.03.2022 11:15 - 18.03.2022 11:30","5037","5537"
"18.03.2022 11:30 - 18.03.2022 11:45","5042","5509"
"18.03.2022 11:45 - 18.03.2022 12:00","5051","5479"
"18.03.2022 12:00 - 18.03.2022 12:15","5007","5444"
"18.03.2022 12:15 - 18.03.2022 12:30","5030","5472"
"18.03.2022 12:30 - 18.03.2022 12:45","5056","5460"
"18.03.2022 12:45 - 18.03.2022 13:00","5053","5445"
"18.03.2022 13:00 - 18.03.2022 13:15","5069","5414"
"18.03.2022 13:15 - 18.03.2022 13:30","5076","5387"
"18.03.2022 13:30 - 18.03.2022 13:45","5038","5354"
"18.03.2022 13:45 - 18.03.2022 14:00","5013","5292"
"18.03.2022 14:00 - 18.03.2022 14:15","5066","5343"
"18.03.2022 14:15 - 18.03.2022 14:30","5122","5342"
"18.03.2022 14:30 - 18.03.2022 14:45","5185","5394"
"18.03.2022 14:45 - 18.03.2022 15:00","5228","5429"
"18.03.2022 15:00 - 18.03.2022 15:15","5259","5478"
"18.03.2022 15:15 - 18.03.2022 15:30","5337","5518"
"18.03.2022 15:30 - 18.03.2022 15:45","5402","5585"
"18.03.2022 15:45 - 18.03.2022 16:00","5471","5632"
"18.03.2022 16:00 - 18.03.2022 16:15","5478","5638"
"18.03.2022 16:15 - 18.03.2022 16:30","5585","5709"
"18.03.2022 16:30 - 18.03.2022 16:45","5628","5756"
"18.03.2022 16:45 - 18.03.2022 17:00","5689","5796"
"18.03.2022 17:00 - 18.03.2022 17:15","5703","5796"
"18.03.2022 17:15 - 18.03.2022 17:30","5749","5868"
"18.03.2022 17:30 - 18.03.2022 17:45","5791","5923"
"18.03.2022 17:45 - 18.03.2022 18:00","5868","5971"
"18.03.2022 18:00 - 18.03.2022 18:15","6006","6086"
"18.03.2022 18:15 - 18.03.2022 18:30","6102","6266"
"18.03.2022 18:30 - 18.03.2022 18:45","6137","6297"
"18.03.2022 18:45 - 18.03.2022 19:00","6168","6322"
"18.03.2022 19:00 - 18.03.2022 19:15","6156","6311"
"18.03.2022 19:15 - 18.03.2022 19:30","6136","6280"
"18.03.2022 19:30 - 18.03.2022 19:45","6114","6267"
"18.03.2022 19:45 - 18.03.2022 20:00","6069","6203"
"18.03.2022 20:00 - 18.03.2022 20:15","6024","6173"
"18.03.2022 20:15 - 18.03.2022 20:30","5987","6101"
"18.03.2022 20:30 - 18.03.2022 20:45","5969","6074"
"18.03.2022 20:45 - 18.03.2022 21:00","5893","5983"
"18.03.2022 21:00 - 18.03.2022 21:15","5857","5977"
"18.03.2022 21:15 - 18.03.2022 21:30","5818","5951"
"18.03.2022 21:30 - 18.03.2022 21:45","5723","5863"
"18.03.2022 21:45 - 18.03.2022 22:00","5621","5767"
"18.03.2022 22:00 - 18.03.2022 22:15","5591","5687"
"18.03.2022 22:15 - 18.03.2022 22:30","5598","5694"
"18.03.2022 22:30 - 18.03.2022 22:45","5581","5651"
"18.03.2022 22:45 - 18.03.2022 23:00","5535","5609"
"18.03.2022 23:00 - 18.03.2022 23:15","5466","5523"
"18.03.2022 23:15 - 18.03.2022 23:30","5402","5438"
"18.03.2022 23:30 - 18.03.2022 23:45","5340","5406"
"18.03.2022 23:45 - 19.03.2022 00:00","5301","5335"
"19.03.2022 00:00 - 19.03.2022 00:15","5095","5212"
"19.03.2022 00:15 - 19.03.2022 00:30","4994","5110"
"19.03.2022 00:30 - 19.03.2022 00:45","4936","5085"
"19.03.2022 00:45 - 19.03.2022 01:00","4867","5012"
"19.03.2022 01:00 - 19.03.2022 01:15","4812","4974"
"19.03.2022 01:15 - 19.03.2022 01:30","4729","4889"
"19.03.2022 01:30 - 19.03.2022 01:45","4660","4865"
"19.03.2022 01:45 - 19.03.2022 02:00","4652","4791"
"19.03.2022 02:00 - 19.03.2022 02:15","4593","4735"
"19.03.2022 02:15 - 19.03.2022 02:30","4534","4703"
"19.03.2022 02:30 - 19.03.2022 02:45","4476","4685"
"19.03.2022 02:45 - 19.03.2022 03:00","4457","4649"
"19.03.2022 03:00 - 19.03.2022 03:15","4398","4610"
