MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Norway (NO),Generation - Solar  [MW] Day Ahead/ Norway (NO),Generation - Solar  [MW] Day Ahead/ Norway (NO),Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO)
17.04.2022 13:00 - 17.04.2022 14:00,0,0,0,0,0,0,704,704,704
17.04.2022 14:00 - 17.04.2022 15:00,0,0,0,0,0,0,628,628,628
17.04.2022 15:00 - 17.04.2022 16:00,0,0,0,0,0,0,622,622,622
17.04.2022 16:00 - 17.04.2022 17:00,0,0,0,0,0,0,591,591,591
17.04.2022 17:00 - 17.04.2022 18:00,0,0,0,0,0,0,590,590,590
17.04.2022 18:00 - 17.04.2022 19:00,0,0,0,0,0,0,603,603,603
17.04.2022 19:00 - 17.04.2022 20:00,0,0,0,0,0,0,639,639,639
17.04.2022 20:00 - 17.04.2022 21:00,0,0,0,0,0,0,712,712,712
17.04.2022 21:00 - 17.04.2022 22:00,0,0,0,0,0,0,750,750,750
17.04.2022 22:00 - 17.04.2022 23:00,0,0,0,0,0,0,805,805,805
17.04.2022 23:00 - 18.04.2022 00:00,0,0,0,0,0,0,851,851,851
18.04.2022 00:00 - 18.04.2022 01:00,0,0,0,0,0,0,859,859,859
18.04.2022 01:00 - 18.04.2022 02:00,0,0,0,0,0,0,876,876,876
18.04.2022 02:00 - 18.04.2022 03:00,0,0,0,0,0,0,891,891,891
18.04.2022 03:00 - 18.04.2022 04:00,0,0,0,0,0,0,919,919,919
18.04.2022 04:00 - 18.04.2022 05:00,0,0,0,0,0,0,914,914,914
18.04.2022 05:00 - 18.04.2022 06:00,0,0,0,0,0,0,972,972,972
18.04.2022 06:00 - 18.04.2022 07:00,0,0,0,0,0,0,1019,1019,1019
18.04.2022 07:00 - 18.04.2022 08:00,0,0,0,0,0,0,1052,1052,1052
18.04.2022 08:00 - 18.04.2022 09:00,0,0,0,0,0,0,1047,1047,1047
18.04.2022 09:00 - 18.04.2022 10:00,0,0,0,0,0,0,1093,1093,1093
18.04.2022 10:00 - 18.04.2022 11:00,0,0,0,0,0,0,1113,1113,1113
18.04.2022 11:00 - 18.04.2022 12:00,0,0,0,0,0,0,1220,1220,1220
18.04.2022 12:00 - 18.04.2022 13:00,0,0,0,0,0,0,1320,1320,1320
18.04.2022 13:00 - 18.04.2022 14:00,0,0,0,0,0,0,1392,1392,1392
18.04.2022 14:00 - 18.04.2022 15:00,0,0,0,0,0,0,1412,1412,1412
18.04.2022 15:00 - 18.04.2022 16:00,0,0,0,0,0,0,1465,1465,1465
18.04.2022 16:00 - 18.04.2022 17:00,0,0,0,0,0,0,1462,1462,1462
18.04.2022 17:00 - 18.04.2022 18:00,0,0,0,0,0,0,1423,1423,1423
18.04.2022 18:00 - 18.04.2022 19:00,0,0,0,0,0,0,1348,1348,1348
18.04.2022 19:00 - 18.04.2022 20:00,0,0,0,0,0,0,1236,1236,1236
18.04.2022 20:00 - 18.04.2022 21:00,0,0,0,0,0,0,1250,1250,1250
18.04.2022 21:00 - 18.04.2022 22:00,0,0,0,0,0,0,1242,1242,1242
18.04.2022 22:00 - 18.04.2022 23:00,0,0,0,0,0,0,1224,1224,1224
18.04.2022 23:00 - 19.04.2022 00:00,0,0,0,0,0,0,1147,1147,1147
19.04.2022 00:00 - 19.04.2022 01:00,0,0,0,0,0,0,1059,1059,1059
19.04.2022 01:00 - 19.04.2022 02:00,0,0,0,0,0,0,1077,1077,1077
19.04.2022 02:00 - 19.04.2022 03:00,0,0,0,0,0,0,1028,1028,1028
19.04.2022 03:00 - 19.04.2022 04:00,0,0,0,0,0,0,1083,1083,1083
19.04.2022 04:00 - 19.04.2022 05:00,0,0,0,0,0,0,1091,1091,1091
19.04.2022 05:00 - 19.04.2022 06:00,0,0,0,0,0,0,991,991,991
19.04.2022 06:00 - 19.04.2022 07:00,0,0,0,0,0,0,962,962,962
19.04.2022 07:00 - 19.04.2022 08:00,0,0,0,0,0,0,928,928,928
19.04.2022 08:00 - 19.04.2022 09:00,0,0,0,0,0,0,793,793,793
19.04.2022 09:00 - 19.04.2022 10:00,0,0,0,0,0,0,681,681,681
19.04.2022 10:00 - 19.04.2022 11:00,0,0,0,0,0,0,628,628,628
19.04.2022 11:00 - 19.04.2022 12:00,0,0,0,0,0,0,564,564,564
19.04.2022 12:00 - 19.04.2022 13:00,0,0,0,0,0,0,538,538,538
19.04.2022 13:00 - 19.04.2022 14:00,0,0,0,0,0,0,488,488,488
19.04.2022 14:00 - 19.04.2022 15:00,0,0,0,0,0,0,436,436,436
19.04.2022 15:00 - 19.04.2022 16:00,0,0,0,0,0,0,417,417,417
19.04.2022 16:00 - 19.04.2022 17:00,0,0,0,0,0,0,368,368,368
19.04.2022 17:00 - 19.04.2022 18:00,0,0,0,0,0,0,332,332,332
19.04.2022 18:00 - 19.04.2022 19:00,0,0,0,0,0,0,291,291,291
19.04.2022 19:00 - 19.04.2022 20:00,0,0,0,0,0,0,278,278,278
19.04.2022 20:00 - 19.04.2022 21:00,0,0,0,0,0,0,266,266,266
19.04.2022 21:00 - 19.04.2022 22:00,0,0,0,0,0,0,260,260,260
19.04.2022 22:00 - 19.04.2022 23:00,0,0,0,0,0,0,258,258,258
19.04.2022 23:00 - 20.04.2022 00:00,0,0,0,0,0,0,241,241,241
20.04.2022 00:00 - 20.04.2022 01:00,0,0,0,0,0,0,246,246,246
20.04.2022 01:00 - 20.04.2022 02:00,0,0,0,0,0,0,259,259,259
20.04.2022 02:00 - 20.04.2022 03:00,0,0,0,0,0,0,245,245,245
20.04.2022 03:00 - 20.04.2022 04:00,0,0,0,0,0,0,249,249,249
20.04.2022 04:00 - 20.04.2022 05:00,0,0,0,0,0,0,229,229,229
20.04.2022 05:00 - 20.04.2022 06:00,0,0,0,0,0,0,226,226,226
20.04.2022 06:00 - 20.04.2022 07:00,0,0,0,0,0,0,243,243,243
20.04.2022 07:00 - 20.04.2022 08:00,0,0,0,0,0,0,241,241,241
20.04.2022 08:00 - 20.04.2022 09:00,0,0,0,0,0,0,212,212,212
20.04.2022 09:00 - 20.04.2022 10:00,0,0,0,0,0,0,192,192,192
20.04.2022 10:00 - 20.04.2022 11:00,0,0,0,0,0,0,164,164,164
20.04.2022 11:00 - 20.04.2022 12:00,0,0,0,0,0,0,156,156,156
20.04.2022 12:00 - 20.04.2022 13:00,0,0,0,0,0,0,161,161,161
20.04.2022 13:00 - 20.04.2022 14:00,0,0,0,0,0,0,158,158,158
20.04.2022 14:00 - 20.04.2022 15:00,0,0,0,0,0,0,166,166,166
20.04.2022 15:00 - 20.04.2022 16:00,0,0,0,0,0,0,167,167,167
20.04.2022 16:00 - 20.04.2022 17:00,0,0,0,0,0,0,174,174,174
20.04.2022 17:00 - 20.04.2022 18:00,0,0,0,0,0,0,164,164,164
20.04.2022 18:00 - 20.04.2022 19:00,0,0,0,0,0,0,150,150,150
20.04.2022 19:00 - 20.04.2022 20:00,0,0,0,0,0,0,166,166,166
20.04.2022 20:00 - 20.04.2022 21:00,0,0,0,0,0,0,173,173,173
20.04.2022 21:00 - 20.04.2022 22:00,0,0,0,0,0,0,196,196,196
20.04.2022 22:00 - 20.04.2022 23:00,0,0,0,0,0,0,195,195,195
20.04.2022 23:00 - 21.04.2022 00:00,0,0,0,0,0,0,227,227,227
21.04.2022 00:00 - 21.04.2022 01:00,0,0,0,0,0,0,292,292,292
21.04.2022 01:00 - 21.04.2022 02:00,0,0,0,0,0,0,381,381,381
21.04.2022 02:00 - 21.04.2022 03:00,0,0,0,0,0,0,425,425,425
21.04.2022 03:00 - 21.04.2022 04:00,0,0,0,0,0,0,449,449,449
21.04.2022 04:00 - 21.04.2022 05:00,0,0,0,0,0,0,477,477,477
21.04.2022 05:00 - 21.04.2022 06:00,0,0,0,0,0,0,480,480,480
21.04.2022 06:00 - 21.04.2022 07:00,0,0,0,0,0,0,489,489,489
21.04.2022 07:00 - 21.04.2022 08:00,0,0,0,0,0,0,450,450,450
21.04.2022 08:00 - 21.04.2022 09:00,0,0,0,0,0,0,444,444,444
21.04.2022 09:00 - 21.04.2022 10:00,0,0,0,0,0,0,411,411,411
21.04.2022 10:00 - 21.04.2022 11:00,0,0,0,0,0,0,408,408,408
21.04.2022 11:00 - 21.04.2022 12:00,0,0,0,0,0,0,503,503,503
21.04.2022 12:00 - 21.04.2022 13:00,0,0,0,0,0,0,616,616,616
21.04.2022 13:00 - 21.04.2022 14:00,0,0,0,0,0,0,726,726,726
21.04.2022 14:00 - 21.04.2022 15:00,0,0,0,0,0,0,811,811,811
21.04.2022 15:00 - 21.04.2022 16:00,0,0,0,0,0,0,876,876,876
21.04.2022 16:00 - 21.04.2022 17:00,0,0,0,0,0,0,914,914,914
21.04.2022 17:00 - 21.04.2022 18:00,0,0,0,0,0,0,886,886,886
21.04.2022 18:00 - 21.04.2022 19:00,0,0,0,0,0,0,874,874,874
21.04.2022 19:00 - 21.04.2022 20:00,0,0,0,0,0,0,886,886,886
21.04.2022 20:00 - 21.04.2022 21:00,0,0,0,0,0,0,925,925,925
21.04.2022 21:00 - 21.04.2022 22:00,0,0,0,0,0,0,1000,1000,1000
21.04.2022 22:00 - 21.04.2022 23:00,0,0,0,0,0,0,1072,1072,1072
21.04.2022 23:00 - 22.04.2022 00:00,0,0,0,0,0,0,1130,1130,1130
22.04.2022 00:00 - 22.04.2022 01:00,0,0,0,0,0,0,1190,1190,1190
22.04.2022 01:00 - 22.04.2022 02:00,0,0,0,0,0,0,1207,1207,1207
22.04.2022 02:00 - 22.04.2022 03:00,0,0,0,0,0,0,1219,1219,1219
22.04.2022 03:00 - 22.04.2022 04:00,0,0,0,0,0,0,1217,1217,1217
22.04.2022 04:00 - 22.04.2022 05:00,0,0,0,0,0,0,1213,1213,1213
22.04.2022 05:00 - 22.04.2022 06:00,0,0,0,0,0,0,1199,1199,1199
22.04.2022 06:00 - 22.04.2022 07:00,0,0,0,0,0,0,1192,1192,1192
22.04.2022 07:00 - 22.04.2022 08:00,0,0,0,0,0,0,1122,1122,1122
22.04.2022 08:00 - 22.04.2022 09:00,0,0,0,0,0,0,1009,1009,1009
22.04.2022 09:00 - 22.04.2022 10:00,0,0,0,0,0,0,914,914,914
22.04.2022 10:00 - 22.04.2022 11:00,0,0,0,0,0,0,892,892,892
22.04.2022 11:00 - 22.04.2022 12:00,0,0,0,0,0,0,918,918,918
22.04.2022 12:00 - 22.04.2022 13:00,0,0,0,0,0,0,968,968,968
22.04.2022 13:00 - 22.04.2022 14:00,0,0,0,0,0,0,992,992,992
22.04.2022 14:00 - 22.04.2022 15:00,0,0,0,0,0,0,934,934,934
22.04.2022 15:00 - 22.04.2022 16:00,0,0,0,0,0,0,891,891,891
22.04.2022 16:00 - 22.04.2022 17:00,0,0,0,0,0,0,873,873,873
22.04.2022 17:00 - 22.04.2022 18:00,0,0,0,0,0,0,821,821,821
22.04.2022 18:00 - 22.04.2022 19:00,0,0,0,0,0,0,792,792,792
22.04.2022 19:00 - 22.04.2022 20:00,0,0,0,0,0,0,785,785,785
22.04.2022 20:00 - 22.04.2022 21:00,0,0,0,0,0,0,803,803,803
22.04.2022 21:00 - 22.04.2022 22:00,0,0,0,0,0,0,834,834,834
22.04.2022 22:00 - 22.04.2022 23:00,0,0,0,0,0,0,807,807,807
22.04.2022 23:00 - 23.04.2022 00:00,0,0,0,0,0,0,829,829,829
23.04.2022 00:00 - 23.04.2022 01:00,0,0,0,0,0,0,887,887,887
23.04.2022 01:00 - 23.04.2022 02:00,0,0,0,0,0,0,915,915,915
23.04.2022 02:00 - 23.04.2022 03:00,0,0,0,0,0,0,921,921,921
23.04.2022 03:00 - 23.04.2022 04:00,0,0,0,0,0,0,891,891,891
23.04.2022 04:00 - 23.04.2022 05:00,0,0,0,0,0,0,937,937,937
23.04.2022 05:00 - 23.04.2022 06:00,0,0,0,0,0,0,943,943,943
23.04.2022 06:00 - 23.04.2022 07:00,0,0,0,0,0,0,960,960,960
23.04.2022 07:00 - 23.04.2022 08:00,0,0,0,0,0,0,927,927,927
23.04.2022 08:00 - 23.04.2022 09:00,0,0,0,0,0,0,876,876,876
23.04.2022 09:00 - 23.04.2022 10:00,0,0,0,0,0,0,842,842,842
23.04.2022 10:00 - 23.04.2022 11:00,0,0,0,0,0,0,781,781,781
23.04.2022 11:00 - 23.04.2022 12:00,0,0,0,0,0,0,763,763,763
23.04.2022 12:00 - 23.04.2022 13:00,0,0,0,0,0,0,717,717,717
23.04.2022 13:00 - 23.04.2022 14:00,0,0,0,0,0,0,716,716,716
23.04.2022 14:00 - 23.04.2022 15:00,0,0,0,0,0,0,602,602,602
23.04.2022 15:00 - 23.04.2022 16:00,0,0,0,0,0,0,680,680,680
23.04.2022 16:00 - 23.04.2022 17:00,0,0,0,0,0,0,767,767,767
23.04.2022 17:00 - 23.04.2022 18:00,0,0,0,0,0,0,803,803,803
23.04.2022 18:00 - 23.04.2022 19:00,0,0,0,0,0,0,815,815,815
23.04.2022 19:00 - 23.04.2022 20:00,0,0,0,0,0,0,833,833,833
23.04.2022 20:00 - 23.04.2022 21:00,0,0,0,0,0,0,788,788,788
23.04.2022 21:00 - 23.04.2022 22:00,0,0,0,0,0,0,859,859,859
23.04.2022 22:00 - 23.04.2022 23:00,0,0,0,0,0,0,1009,1009,1009
23.04.2022 23:00 - 24.04.2022 00:00,0,0,0,0,0,0,1055,1055,1055
24.04.2022 00:00 - 24.04.2022 01:00,0,0,0,0,0,0,1117,1117,1117
24.04.2022 01:00 - 24.04.2022 02:00,0,0,0,0,0,0,1155,1155,1155
24.04.2022 02:00 - 24.04.2022 03:00,0,0,0,0,0,0,1193,1193,1193
24.04.2022 03:00 - 24.04.2022 04:00,0,0,0,0,0,0,1197,1197,1197
24.04.2022 04:00 - 24.04.2022 05:00,0,0,0,0,0,0,1091,1091,1091
24.04.2022 05:00 - 24.04.2022 06:00,0,0,0,0,0,0,1077,1077,1077
24.04.2022 06:00 - 24.04.2022 07:00,0,0,0,0,0,0,1005,1005,1005
24.04.2022 07:00 - 24.04.2022 08:00,0,0,0,0,0,0,935,935,935
24.04.2022 08:00 - 24.04.2022 09:00,0,0,0,0,0,0,876,876,876
24.04.2022 09:00 - 24.04.2022 10:00,0,0,0,0,0,0,878,878,878
24.04.2022 10:00 - 24.04.2022 11:00,0,0,0,0,0,0,891,891,891
24.04.2022 11:00 - 24.04.2022 12:00,0,0,0,0,0,0,849,849,849
24.04.2022 12:00 - 24.04.2022 13:00,0,0,0,0,0,0,725,725,725
24.04.2022 13:00 - 24.04.2022 14:00,0,0,0,0,0,0,590,590,590
24.04.2022 14:00 - 24.04.2022 15:00,0,0,0,0,0,0,512,512,512
24.04.2022 15:00 - 24.04.2022 16:00,0,0,0,0,0,0,460,460,460
24.04.2022 16:00 - 24.04.2022 17:00,0,0,0,0,0,0,433,433,433
24.04.2022 17:00 - 24.04.2022 18:00,0,0,0,0,0,0,439,439,439
24.04.2022 18:00 - 24.04.2022 19:00,0,0,0,0,0,0,427,427,427
24.04.2022 19:00 - 24.04.2022 20:00,0,0,0,0,0,0,436,436,436
24.04.2022 20:00 - 24.04.2022 21:00,0,0,0,0,0,0,416,416,416
24.04.2022 21:00 - 24.04.2022 22:00,0,0,0,0,0,0,394,394,394
24.04.2022 22:00 - 24.04.2022 23:00,0,0,0,0,0,0,396,396,396
24.04.2022 23:00 - 25.04.2022 00:00,0,0,0,0,0,0,356,356,356
25.04.2022 00:00 - 25.04.2022 01:00,0,0,0,0,0,0,307,307,307
25.04.2022 01:00 - 25.04.2022 02:00,0,0,0,0,0,0,287,287,287
25.04.2022 02:00 - 25.04.2022 03:00,0,0,0,0,0,0,247,247,247
25.04.2022 03:00 - 25.04.2022 04:00,0,0,0,0,0,0,222,222,222
25.04.2022 04:00 - 25.04.2022 05:00,0,0,0,0,0,0,241,241,241
25.04.2022 05:00 - 25.04.2022 06:00,0,0,0,0,0,0,279,279,279
25.04.2022 06:00 - 25.04.2022 07:00,0,0,0,0,0,0,369,369,369
25.04.2022 07:00 - 25.04.2022 08:00,0,0,0,0,0,0,498,498,498
25.04.2022 08:00 - 25.04.2022 09:00,0,0,0,0,0,0,600,600,600
25.04.2022 09:00 - 25.04.2022 10:00,0,0,0,0,0,0,732,732,732
25.04.2022 10:00 - 25.04.2022 11:00,0,0,0,0,0,0,853,853,853
25.04.2022 11:00 - 25.04.2022 12:00,0,0,0,0,0,0,1002,1002,1002
25.04.2022 12:00 - 25.04.2022 13:00,0,0,0,0,0,0,1108,1108,1108
25.04.2022 13:00 - 25.04.2022 14:00,0,0,0,0,0,0,1190,1190,1190
25.04.2022 14:00 - 25.04.2022 15:00,0,0,0,0,0,0,1274,1274,1274
25.04.2022 15:00 - 25.04.2022 16:00,0,0,0,0,0,0,1363,1363,1363
25.04.2022 16:00 - 25.04.2022 17:00,0,0,0,0,0,0,1431,1431,1431
25.04.2022 17:00 - 25.04.2022 18:00,0,0,0,0,0,0,1448,1448,1448
25.04.2022 18:00 - 25.04.2022 19:00,0,0,0,0,0,0,1444,1444,1444
25.04.2022 19:00 - 25.04.2022 20:00,0,0,0,0,0,0,1472,1472,1472
25.04.2022 20:00 - 25.04.2022 21:00,0,0,0,0,0,0,1455,1455,1455
25.04.2022 21:00 - 25.04.2022 22:00,0,0,0,0,0,0,1458,1458,1458
25.04.2022 22:00 - 25.04.2022 23:00,0,0,0,0,0,0,1484,1484,1484
25.04.2022 23:00 - 26.04.2022 00:00,0,0,0,0,0,0,1558,1558,1558
26.04.2022 00:00 - 26.04.2022 01:00,0,0,0,0,0,0,1530,1530,1530
26.04.2022 01:00 - 26.04.2022 02:00,0,0,0,0,0,0,1549,1549,1549
26.04.2022 02:00 - 26.04.2022 03:00,0,0,0,0,0,0,1506,1506,1506
26.04.2022 03:00 - 26.04.2022 04:00,0,0,0,0,0,0,1494,1494,1494
26.04.2022 04:00 - 26.04.2022 05:00,0,0,0,0,0,0,1505,1505,1505
26.04.2022 05:00 - 26.04.2022 06:00,0,0,0,0,0,0,1468,1468,1468
26.04.2022 06:00 - 26.04.2022 07:00,0,0,0,0,0,0,1445,1445,1445
26.04.2022 07:00 - 26.04.2022 08:00,0,0,0,0,0,0,1432,1432,1432
26.04.2022 08:00 - 26.04.2022 09:00,0,0,0,0,0,0,1277,1277,1277
26.04.2022 09:00 - 26.04.2022 10:00,0,0,0,0,0,0,1263,1263,1263
26.04.2022 10:00 - 26.04.2022 11:00,0,0,0,0,0,0,1218,1218,1218
26.04.2022 11:00 - 26.04.2022 12:00,0,0,0,0,0,0,1193,1193,1193
26.04.2022 12:00 - 26.04.2022 13:00,0,0,0,0,0,0,1244,1244,1244
26.04.2022 13:00 - 26.04.2022 14:00,0,0,0,0,0,0,1238,1238,1238
26.04.2022 14:00 - 26.04.2022 15:00,0,0,0,0,0,0,1242,1242,1242
26.04.2022 15:00 - 26.04.2022 16:00,0,0,0,0,0,0,1351,1351,1351
26.04.2022 16:00 - 26.04.2022 17:00,0,0,0,0,0,0,1344,1344,1344
26.04.2022 17:00 - 26.04.2022 18:00,0,0,0,0,0,0,1298,1298,1298
26.04.2022 18:00 - 26.04.2022 19:00,0,0,0,0,0,0,1206,1206,1206
26.04.2022 19:00 - 26.04.2022 20:00,0,0,0,0,0,0,1088,1088,1088
26.04.2022 20:00 - 26.04.2022 21:00,0,0,0,0,0,0,1022,1022,1022
26.04.2022 21:00 - 26.04.2022 22:00,0,0,0,0,0,0,934,934,934
26.04.2022 22:00 - 26.04.2022 23:00,0,0,0,0,0,0,832,832,832
26.04.2022 23:00 - 27.04.2022 00:00,0,0,0,0,0,0,766,766,766
27.04.2022 00:00 - 27.04.2022 01:00,0,0,0,0,0,0,697,697,697
27.04.2022 01:00 - 27.04.2022 02:00,0,0,0,0,0,0,617,617,617
27.04.2022 02:00 - 27.04.2022 03:00,0,0,0,0,0,0,603,603,603
27.04.2022 03:00 - 27.04.2022 04:00,0,0,0,0,0,0,613,613,613
27.04.2022 04:00 - 27.04.2022 05:00,0,0,0,0,0,0,600,600,600
27.04.2022 05:00 - 27.04.2022 06:00,0,0,0,0,0,0,578,578,578
27.04.2022 06:00 - 27.04.2022 07:00,0,0,0,0,0,0,578,578,578
27.04.2022 07:00 - 27.04.2022 08:00,0,0,0,0,0,0,561,561,561
27.04.2022 08:00 - 27.04.2022 09:00,0,0,0,0,0,0,549,549,549
27.04.2022 09:00 - 27.04.2022 10:00,0,0,0,0,0,0,541,541,541
27.04.2022 10:00 - 27.04.2022 11:00,0,0,0,0,0,0,516,516,516
27.04.2022 11:00 - 27.04.2022 12:00,0,0,0,0,0,0,576,576,576
27.04.2022 12:00 - 27.04.2022 13:00,0,0,0,0,0,0,716,716,716
27.04.2022 13:00 - 27.04.2022 14:00,0,0,0,0,0,0,816,816,816
27.04.2022 14:00 - 27.04.2022 15:00,0,0,0,0,0,0,944,944,944
27.04.2022 15:00 - 27.04.2022 16:00,0,0,0,0,0,0,1124,1124,1124
27.04.2022 16:00 - 27.04.2022 17:00,0,0,0,0,0,0,1388,1388,1388
27.04.2022 17:00 - 27.04.2022 18:00,0,0,0,0,0,0,1529,1529,1529
27.04.2022 18:00 - 27.04.2022 19:00,0,0,0,0,0,0,1713,1713,1713
27.04.2022 19:00 - 27.04.2022 20:00,0,0,0,0,0,0,1848,1848,1848
27.04.2022 20:00 - 27.04.2022 21:00,0,0,0,0,0,0,2036,2036,2036
27.04.2022 21:00 - 27.04.2022 22:00,0,0,0,0,0,0,2173,2173,2173
27.04.2022 22:00 - 27.04.2022 23:00,0,0,0,0,0,0,2366,2366,2366
27.04.2022 23:00 - 28.04.2022 00:00,0,0,0,0,0,0,2479,2479,2479
28.04.2022 00:00 - 28.04.2022 01:00,0,0,0,0,0,0,2453,2453,2453
28.04.2022 01:00 - 28.04.2022 02:00,0,0,0,0,0,0,2343,2343,2343
28.04.2022 02:00 - 28.04.2022 03:00,0,0,0,0,0,0,2305,2305,2305
28.04.2022 03:00 - 28.04.2022 04:00,0,0,0,0,0,0,2247,2247,2247
28.04.2022 04:00 - 28.04.2022 05:00,0,0,0,0,0,0,2181,2181,2181
28.04.2022 05:00 - 28.04.2022 06:00,0,0,0,0,0,0,2023,2023,2023
28.04.2022 06:00 - 28.04.2022 07:00,0,0,0,0,0,0,1908,1908,1908
28.04.2022 07:00 - 28.04.2022 08:00,0,0,0,0,0,0,1800,1800,1800
28.04.2022 08:00 - 28.04.2022 09:00,0,0,0,0,0,0,1631,1631,1631
28.04.2022 09:00 - 28.04.2022 10:00,0,0,0,0,0,0,1530,1530,1530
28.04.2022 10:00 - 28.04.2022 11:00,0,0,0,0,0,0,1464,1464,1464
28.04.2022 11:00 - 28.04.2022 12:00,0,0,0,0,0,0,1554,1554,1554
28.04.2022 12:00 - 28.04.2022 13:00,0,0,0,0,0,0,1552,1552,1552
28.04.2022 13:00 - 28.04.2022 14:00,0,0,0,0,0,0,1575,1575,1575
28.04.2022 14:00 - 28.04.2022 15:00,0,0,0,0,0,0,1520,1520,1520
28.04.2022 15:00 - 28.04.2022 16:00,0,0,0,0,0,0,1650,1650,1650
28.04.2022 16:00 - 28.04.2022 17:00,0,0,0,0,0,0,1716,1716,1716
28.04.2022 17:00 - 28.04.2022 18:00,0,0,0,0,0,0,1676,1676,1676
28.04.2022 18:00 - 28.04.2022 19:00,0,0,0,0,0,0,1489,1489,1489
28.04.2022 19:00 - 28.04.2022 20:00,0,0,0,0,0,0,1401,1401,1401
28.04.2022 20:00 - 28.04.2022 21:00,0,0,0,0,0,0,1266,1266,1266
28.04.2022 21:00 - 28.04.2022 22:00,0,0,0,0,0,0,1143,1143,1143
28.04.2022 22:00 - 28.04.2022 23:00,0,0,0,0,0,0,1098,1098,1098
28.04.2022 23:00 - 29.04.2022 00:00,0,0,0,0,0,0,1092,1092,1092
29.04.2022 00:00 - 29.04.2022 01:00,0,0,0,0,0,0,983,983,983
29.04.2022 01:00 - 29.04.2022 02:00,0,0,0,0,0,0,912,912,912
29.04.2022 02:00 - 29.04.2022 03:00,0,0,0,0,0,0,892,892,892
29.04.2022 03:00 - 29.04.2022 04:00,0,0,0,0,0,0,923,923,923
29.04.2022 04:00 - 29.04.2022 05:00,0,0,0,0,0,0,894,894,894
29.04.2022 05:00 - 29.04.2022 06:00,0,0,0,0,0,0,825,825,825
29.04.2022 06:00 - 29.04.2022 07:00,0,0,0,0,0,0,795,795,795
29.04.2022 07:00 - 29.04.2022 08:00,0,0,0,0,0,0,729,729,729
29.04.2022 08:00 - 29.04.2022 09:00,0,0,0,0,0,0,747,747,747
29.04.2022 09:00 - 29.04.2022 10:00,0,0,0,0,0,0,710,710,710
29.04.2022 10:00 - 29.04.2022 11:00,0,0,0,0,0,0,705,705,705
29.04.2022 11:00 - 29.04.2022 12:00,0,0,0,0,0,0,713,713,713
29.04.2022 12:00 - 29.04.2022 13:00,0,0,0,0,0,0,769,769,769
29.04.2022 13:00 - 29.04.2022 14:00,0,0,0,0,0,0,844,844,844
29.04.2022 14:00 - 29.04.2022 15:00,0,0,0,0,0,0,910,910,910
29.04.2022 15:00 - 29.04.2022 16:00,0,0,0,0,0,0,987,987,987
29.04.2022 16:00 - 29.04.2022 17:00,0,0,0,0,0,0,1115,1115,1115
29.04.2022 17:00 - 29.04.2022 18:00,0,0,0,0,0,0,1233,1233,1233
29.04.2022 18:00 - 29.04.2022 19:00,0,0,0,0,0,0,1246,1246,1246
29.04.2022 19:00 - 29.04.2022 20:00,0,0,0,0,0,0,1188,1188,1188
29.04.2022 20:00 - 29.04.2022 21:00,0,0,0,0,0,0,1223,1223,1223
29.04.2022 21:00 - 29.04.2022 22:00,0,0,0,0,0,0,1214,1214,1214
29.04.2022 22:00 - 29.04.2022 23:00,0,0,0,0,0,0,1184,1184,1184
29.04.2022 23:00 - 30.04.2022 00:00,0,0,0,0,0,0,1165,1165,1165
30.04.2022 00:00 - 30.04.2022 01:00,0,0,0,0,0,0,1215,1215,1215
30.04.2022 01:00 - 30.04.2022 02:00,0,0,0,0,0,0,1293,1293,1293
30.04.2022 02:00 - 30.04.2022 03:00,0,0,0,0,0,0,1343,1343,1343
30.04.2022 03:00 - 30.04.2022 04:00,0,0,0,0,0,0,1497,1497,1497
30.04.2022 04:00 - 30.04.2022 05:00,0,0,0,0,0,0,1620,1620,1620
30.04.2022 05:00 - 30.04.2022 06:00,0,0,0,0,0,0,1682,1682,1682
30.04.2022 06:00 - 30.04.2022 07:00,0,0,0,0,0,0,1641,1641,1641
30.04.2022 07:00 - 30.04.2022 08:00,0,0,0,0,0,0,1633,1633,1633
30.04.2022 08:00 - 30.04.2022 09:00,0,0,0,0,0,0,1499,1499,1499
30.04.2022 09:00 - 30.04.2022 10:00,0,0,0,0,0,0,1390,1390,1390
30.04.2022 10:00 - 30.04.2022 11:00,0,0,0,0,0,0,1266,1266,1266
30.04.2022 11:00 - 30.04.2022 12:00,0,0,0,0,0,0,1260,1260,1260
30.04.2022 12:00 - 30.04.2022 13:00,0,0,0,0,0,0,1294,1294,1294
30.04.2022 13:00 - 30.04.2022 14:00,0,0,0,0,0,0,1291,1291,1291
30.04.2022 14:00 - 30.04.2022 15:00,0,0,0,0,0,0,1248,1248,1248
30.04.2022 15:00 - 30.04.2022 16:00,0,0,0,0,0,0,1258,1258,1258
30.04.2022 16:00 - 30.04.2022 17:00,0,0,0,0,0,0,1256,1256,1256
